O3D_run (O3D CBIOP_WGS_PRAD_EURUROL_2017)	282.9%	25.3 GB	48.8s
O3D_run (O3D CBIOP_WGS_STAD_ONCOSG_2018)	585.7%	41.4 GB	20m 50s
O3D_run (O3D CBIOP_WXS_ACY_2019)	438.3%	28.1 GB	1m 41s
O3D_run (O3D CBIOP_WXS_ACYC_MDA_2015)	617.4%	26.7 GB	54.1s
O3D_run (O3D CBIOP_WXS_ACYC_SANGER_2013)	229.3%	23.8 GB	15.1s
O3D_run (O3D CBIOP_WXS_ANGS_TREATED_2020)	779.9%	32.9 GB	7m 31s
O3D_run (O3D CBIOP_WXS_ANGS_UNTREAT_2020)	894.5%	30.4 GB	3m
O3D_run (O3D CBIOP_WXS_BCC_UNIGE_2016_TREAT)	518.6%	34.9 GB	10m 53s
O3D_run (O3D CBIOP_WXS_BCC_UNIGE_2016_UNTREAT)	902.3%	52.3 GB	1h 20m 6s
O3D_run (O3D CBIOP_WXS_BLCA_BGI)	484.7%	29.3 GB	6m 47s
O3D_run (O3D CBIOP_WXS_BLCA_DFARBER_MSKCC_2014)	534.3%	32.6 GB	10m 45s
O3D_run (O3D CBIOP_WXS_BLCA_UTUC_IGBMC_2021)	682.9%	28.5 GB	1m 49s
O3D_run (O3D CBIOP_WXS_BLCA_VALLEN_2018)	543.5%	29.6 GB	6m 41s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_MET_NOTREAT_2020)	405.2%	25.7 GB	2m 14s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_MET_TREAT_2020)	423.4%	26.1 GB	2m 5s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_PRY_NOTREAT_2020)	412.2%	26.2 GB	2m 16s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_PRY_TREAT_2020)	146.9%	24 GB	18.8s
O3D_run (O3D CBIOP_WXS_CLL_BROAD_2013)	390.3%	25.6 GB	1m 41s
O3D_run (O3D CBIOP_WXS_CLL_IUOPA_2015)	515.8%	30.3 GB	7m 5s
O3D_run (O3D CBIOP_WXS_CM_VALLEN_2018)	903.6%	50.8 GB	45m 31s
O3D_run (O3D CBIOP_WXS_CSCC_UCSF_2018)	791.7%	49.3 GB	47m 52s
O3D_run (O3D CBIOP_WXS_DLBC_BROAD_2012)	708.8%	30 GB	3m 5s
O3D_run (O3D CBIOP_WXS_DLBCL_DFCI_2018)	630.2%	31.9 GB	8m 46s
O3D_run (O3D CBIOP_WXS_EGC_TMUCIH_2015)	701.6%	31.9 GB	6m
O3D_run (O3D CBIOP_WXS_ESCA_BROAD)	944.2%	39.9 GB	10m 45s
O3D_run (O3D CBIOP_WXS_ESCA_EGC_TRAP_2020)	388.4%	27.1 GB	3m 37s
O3D_run (O3D CBIOP_WXS_HCC_AMC_PRV)	938.9%	40.3 GB	11m 55s
O3D_run (O3D CBIOP_WXS_HNSC_BROAD)	419.3%	30.1 GB	7m 34s
O3D_run (O3D CBIOP_WXS_HNSC_VALLEN_2018)	270.0%	26.6 GB	2m 14s
O3D_run (O3D CBIOP_WXS_LUAD_BROAD)	481.6%	41.5 GB	44m 19s
O3D_run (O3D CBIOP_WXS_LUAD_ONCOSG_2020)	913.2%	42.3 GB	15m 24s
O3D_run (O3D CBIOP_WXS_LUAD_VALLEN_2018)	618.3%	34.6 GB	9m 25s
O3D_run (O3D CBIOP_WXS_MM_BROAD_TREAT)	569.0%	27.3 GB	2m 33s
O3D_run (O3D CBIOP_WXS_MM_BROAD_UNTREAT)	237.9%	26.6 GB	5m 20s
O3D_run (O3D CBIOP_WXS_NSCLC_MSKCC_2018)	912.1%	36.7 GB	7m 23s
O3D_run (O3D CBIOP_WXS_PRAD_BROAD_2013)	430.3%	24.7 GB	48.7s
O3D_run (O3D CBIOP_WXS_PRAD_BROAD)	619.0%	31.4 GB	2m 42s
O3D_run (O3D CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET)	534.5%	40.9 GB	32m 26s
O3D_run (O3D CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY)	789.4%	30.7 GB	5m 12s
O3D_run (O3D CBIOP_WXS_PRAD_SU2C_2019)	1039.2%	46.8 GB	23m 37s
O3D_run (O3D CBIOP_WXS_SCLC_CLCGP)	693.5%	29.1 GB	3m 55s
O3D_run (O3D CBIOP_WXS_SCLC_UCOLOGNE_2015)	885.4%	42.4 GB	18m 34s
O3D_run (O3D CBIOP_WXS_SKCM_BROAD)	1014.6%	42.3 GB	14m 15s
O3D_run (O3D CBIOP_WXS_VSC_CUK_2018)	874.0%	30.4 GB	1m 47s
O3D_run (O3D CGCI_WGS_BL_2020)	707.9%	28.3 GB	1m 21s
O3D_run (O3D CGCI_WGS_CESC_2020)	772.9%	44.2 GB	11m 32s
O3D_run (O3D CPTAC_WXS_BRCA_2020)	670.1%	32 GB	4m 51s
O3D_run (O3D CPTAC_WXS_CCRCC_2020)	834.7%	27.4 GB	2m 44s
O3D_run (O3D CPTAC_WXS_COAD_2020)	775.5%	31.4 GB	4m 48s
O3D_run (O3D CPTAC_WXS_GBM_2020)	872.4%	30.7 GB	2m 54s
O3D_run (O3D CPTAC_WXS_HNSC_2020)	842.8%	31.7 GB	7m 2s
O3D_run (O3D CPTAC_WXS_LUAD_2020)	978.1%	39.6 GB	14m 33s
O3D_run (O3D CPTAC_WXS_LUSC_2020)	1012.6%	38 GB	13m 27s
O3D_run (O3D CPTAC_WXS_OVT_2020)	607.3%	29 GB	3m 3s
O3D_run (O3D CPTAC_WXS_PAAD_2021)	822.3%	28.7 GB	2m 24s
O3D_run (O3D CPTAC_WXS_UCEC_2020)	811.0%	36.1 GB	9m 3s
O3D_run (O3D HARTWIG_WGS_ANSC_2023)	604.4%	25.8 GB	1m 2s
O3D_run (O3D HARTWIG_WGS_BLADDER_2023)	690.4%	27.7 GB	1m 18s
O3D_run (O3D HARTWIG_WGS_BLCA_2023)	952.2%	52.5 GB	20m 33s
O3D_run (O3D HARTWIG_WGS_BRCA_2023)	896.1%	66.8 GB	41m 27s
O3D_run (O3D HARTWIG_WGS_CEAD_2023)	671.3%	29.8 GB	3m 2s
O3D_run (O3D HARTWIG_WGS_CHOL_2023)	709.4%	28.7 GB	1m 44s
O3D_run (O3D HARTWIG_WGS_COAD_2023)	895.9%	40.9 GB	7m 30s
O3D_run (O3D HARTWIG_WGS_COADREAD_2023)	995.0%	65.6 GB	38m 40s
O3D_run (O3D HARTWIG_WGS_EGC_2023)	625.4%	28.6 GB	1m 17s
O3D_run (O3D HARTWIG_WGS_ESCC_2023)	664.0%	42.4 GB	17m 21s
O3D_run (O3D HARTWIG_WGS_GB_2023)	823.2%	30.5 GB	2m 29s
O3D_run (O3D HARTWIG_WGS_GBC_2023)	405.3%	25.6 GB	42.8s
O3D_run (O3D HARTWIG_WGS_GIST_2023)	477.0%	25.1 GB	44.3s
O3D_run (O3D HARTWIG_WGS_HCC_2023)	746.5%	31.1 GB	2m 12s
O3D_run (O3D HARTWIG_WGS_HNSC_2023)	674.9%	30.3 GB	1m 45s
O3D_run (O3D HARTWIG_WGS_LIPO_2023)	364.3%	26 GB	35s
O3D_run (O3D HARTWIG_WGS_LMS_2023)	450.2%	25.4 GB	46.4s
O3D_run (O3D HARTWIG_WGS_LUNG_2023)	320.8%	25.2 GB	34.4s
O3D_run (O3D HARTWIG_WGS_MT_2023)	652.1%	28.2 GB	1m 31s
O3D_run (O3D HARTWIG_WGS_NETNOS_2023)	606.1%	27.1 GB	1m 2s
O3D_run (O3D HARTWIG_WGS_NSCLC_2023)	1067.9%	73.5 GB	55m 5s
O3D_run (O3D HARTWIG_WGS_OVT_2023)	853.8%	37 GB	7m 21s
O3D_run (O3D HARTWIG_WGS_PANCREAS_2023)	842.3%	34.3 GB	4m 32s
O3D_run (O3D HARTWIG_WGS_PLMESO_2023)	267.2%	25.8 GB	34.4s
